0.46875,2.34375
1.1979065,-4.0104165
8.01532,1.0695305
3.75,-4.6875
2.9237976,-1.4690695
-16.09375,-7.239584
-7.288666,-3.1310024
8.751812,4.377426
16.067814,-6.5543556
-26.25,2.8125
-9.780952,-0.57741785
2.0965376,-3.312418
-1.6859589,-3.4420013
1.71875,3.125
-2.34375,1.875
-11.668163,-4.024458
-0.35422897,4.397648
-12.271601,-0.5284519
21.633144,-4.613886
-1.7091141,-2.780405
-8.90625,23.59375
9.745377,-3.5725327
5.15625,-1.40625
1.09375,16.875
2.197113,-2.596836
-2.667511,-4.225559
-17.392242,-3.6633606
0.18457794,0.24100494
6.729126,-1.3577652
-2.334961,8.495176
-0.32724,2.491829
